id,first_name,gender,age,expected_years_left,total years,criminal,IQ,health,job,skill,race,university,country,drug_use,smoking,relative_bais,psychopath,no_of_dependant,no_of_pet,killer,contribution_to_humanity
90,Brent,Male,14,34,48,0.0,78,1,Civil Engineer,Voice Acting,Guatemalan,Helsinki University of Technology,Finland,0,0,1,0,0.0,0.0,0,1
91,Chrissie,Male,48,18,66,0.0,119,0,Systems Administrator IV,10 Key,Yuman,Universidad ORT Uruguay,Uruguay,0,Seldom,0,0,2.0,3.0,0,0
92,Nappy,Male,25,31,56,0.0,111,0,Clinical Specialist,Legal Writing,Argentinian,King Mongkut's University of Technology North Bangkok,Thailand,0,Often,0,1,0.0,0.0,0,0
93,Zorana,Female,30,22,52,0.0,131,0,Registered Nurse,Swift,Spaniard,Irkutsk State University,Russia,0,Seldom,0,0,2.0,0.0,0,0
94,Faye,Female,31,24,55,1.0,120,1,Health Coach III,International Real Estate,Paiute,University of Maribor,Slovenia,0,0,0,0,2.0,0.0,0,0
95,Othello,Male,52,19,71,0.0,125,0,Structural Engineer,Aluminum,Lumbee,Wenzhou Medical College,China,0,0,1,0,0.0,0.0,0,0
96,Tallia,Female,45,18,63,0.0,87,1,VP Sales,Epi Info,Nicaraguan,Wuhan Technical University of Surveying and Mapping,China,0,Never,1,0,5.0,6.0,0,0
97,Nelli,Female,31,25,56,0.0,90,1,Software Consultant,Gynecology,Seminole,"Islamic Azad University, Lahijan",Iran,0,0,0,0,0.0,0.0,0,0
98,Alden,Male,42,13,55,0.0,119,0,Structural Analysis Engineer,MCNP,Puget Sound Salish,Lampang Vocational College   ,Thailand,0,0,0,1,0.0,1.0,0,0
99,Vassily,Male,13,32,45,0.0,146,0,Structural Engineer,RF Planning,Eskimo,Plekhanov Russian Academy of Economics,Russia,0,0,0,0,0.0,4.0,0,0
100,Margaret,Female,27,15,42,0.0,87,1,Analyst Programmer,TPC,Bolivian,Hunan Normal University,China,Once,Daily,1,0,2.0,0.0,0,0
101,Martin,Male,11,15,26,0.0,75,1,Accounting Assistant III,Project Planning,American Indian and Alaska Native (AIAN),Samara State Aerospace University,Russia,0,0,0,0,4.0,0.0,0,0
102,Morgen,Male,8,28,36,0.0,126,0,Analog Circuit Design manager,CFML,Malaysian,Université Jean Monnet,France,Often,0,0,1,3.0,5.0,0,0
103,Zach,Male,38,27,65,0.0,110,0,Payment Adjustment Coordinator,Global Management,Aleut,Lampang College of Commerce and Technology,Thailand,0,Weekly,1,0,3.0,1.0,0,0
104,Cob,Male,23,16,39,0.0,110,1,Financial Analyst,PTO,Costa Rican,"University for Information Science and Technology  ""St. Paul The Apostle"" ",Macedonia,0,Never,0,1,0.0,1.0,0,0
105,Gearard,Male,28,28,56,0.0,93,0,Computer Systems Analyst I,DS3,Latin American Indian,Universidad de Los Llanos,Colombia,0,0,1,0,4.0,2.0,0,0
106,Feodor,Male,45,24,69,1.0,134,0,Senior Financial Analyst,Media Relations,Potawatomi,Universitas Pancasakti Tegal,Indonesia,0,0,0,0,0.0,0.0,0,0
107,Geoff,Male,46,23,69,0.0,104,0,Chemical Engineer,Credit Unions,Laotian,Isra University,Pakistan,Often,Monthly,1,0,5.0,1.0,0,0
108,Dene,Male,35,25,60,0.0,97,0,Paralegal,Glazing,Puget Sound Salish,Harbin Engineering University,China,0,0,0,0,0.0,0.0,0,0
109,Alyosha,Male,32,14,46,0.0,75,0,Nuclear Power Engineer,LPR,Guatemalan,Azerbaijan Diplomatic Academy,Azerbaijan,0,0,0,0,0.0,3.0,0,0
110,Gar,Male,16,23,39,0.0,107,1,Software Test Engineer IV,QA Engineering,Filipino,Douglas College,Canada,0,0,0,0,0.0,0.0,0,0
111,Loutitia,Female,17,15,32,0.0,131,1,Office Assistant IV,WordPerfect,Lumbee,Norwegian University of Life Sciences,Norway,0,0,1,0,0.0,2.0,0,0
112,Zarah,Female,54,22,76,1.0,92,0,Operator,mLearning,Peruvian,Anhui University,China,0,Never,0,0,2.0,0.0,0,0
113,Anna-diana,Female,28,24,52,0.0,94,0,Programmer IV,nCloth,Yuman,Medical Academy in Lodz,Poland,0,0,0,0,8.0,2.0,0,0
114,Jefferey,Male,28,34,62,0.0,78,1,Administrative Assistant II,ATG CSC,Colville,Universitas Kristen Satya Wacana,Indonesia,0,0,0,0,6.0,0.0,0,0
115,Gerik,Male,33,24,57,0.0,125,1,Environmental Specialist,OSHA Certified,Paiute,Hunan Agricultural University,China,0,Weekly,0,0,1.0,2.0,0,0
116,Carson,Male,24,10,34,0.0,92,0,Developer IV,Dell KACE,Sioux,Zhejiang University of Technology,China,Monthly,0,0,0,0.0,1.0,0,0
117,Merilyn,Female,30,20,50,0.0,56,1,Dental Hygienist,HNI,Indonesian,Harbin Medical University,China,Once,0,0,0,0.0,0.0,0,0
118,Abram,Male,26,19,45,0.0,98,1,Technical Writer,Cost Efficiency,Honduran,Universidad Rafael Landívar,Guatemala,0,Seldom,0,0,0.0,0.0,0,0
119,Shanta,Female,46,18,64,1.0,109,0,Pharmacist,Demand Generation,Pueblo,Universidad Nacional Agraria La Molina,Peru,0,0,1,0,7.0,2.0,0,0
120,Ivar,Male,33,11,44,0.0,104,0,Social Worker,HP XP,Iroquois,Jilin University,China,0,Daily,0,0,0.0,5.0,0,0
121,Cletis,Male,36,37,73,0.0,137,0,Quality Control Specialist,Affiliate Networks,Tohono O'Odham,Université de la Reunion,Reunion,0,0,0,0,6.0,0.0,1,0
122,Vivianna,Female,37,10,47,0.0,99,1,Senior Sales Associate,nDo,Houma,Universitas 17 Agustus 1945 Banyuwangi,Indonesia,Seldom,0,1,0,1.0,2.0,0,0
123,Bing,Male,27,25,52,0.0,88,0,Senior Cost Accountant,UK Immigration,Iroquois,Shandong University of Technology,China,0,0,0,0,5.0,3.0,0,0
124,Cynthia,Female,32,13,45,0.0,99,0,Editor,Offset Printing,Nicaraguan,Lipeck State Technical University,Russia,Once,Never,0,0,0.0,1.0,0,0
125,Adelbert,Male,29,25,54,0.0,130,1,Business Systems Development Analyst,Aircraft Maintenance,Dominican (Dominican Republic),Politeknik Pos Indonesia,Indonesia,0,Daily,1,0,2.0,0.0,0,0
126,Elwyn,Male,24,24,48,1.0,97,1,Electrical Engineer,Carrier Ethernet,Puerto Rican,Chinese People's Public Security University,China,0,Seldom,0,0,0.0,8.0,0,0
127,Jacinda,Female,36,18,54,0.0,91,0,Database Administrator I,People Skills,Comanche,Universitas Trisakti,Indonesia,Often,0,1,0,0.0,5.0,0,0
128,Rurik,Male,54,19,73,0.0,92,0,Community Outreach Specialist,DCF,Cuban,Universidad Nacional de Jujuy,Argentina,Daily,Seldom,0,0,4.0,0.0,0,0
129,Tamara,Female,16,9,25,0.0,79,0,Nuclear Power Engineer,Judo,Chickasaw,"Moscow State Institute of Radiotechnics, Electronics and Automation (Technical University)",Russia,0,0,0,0,0.0,6.0,0,0
130,Karola,Female,25,19,44,0.0,61,0,Senior Sales Associate,SFX,Yaqui,Moldova Cooperative Trade University,Moldova,0,Never,0,0,0.0,3.0,0,0
131,Latia,Female,29,21,50,0.0,84,0,Nurse Practicioner,Syslog-ng,Dominican (Dominican Republic),Shanghai Second Medical University,China,0,Often,0,0,0.0,0.0,0,0
132,Astra,Female,29,31,60,0.0,112,0,Administrative Officer,VSE,Hmong,Université de Yaoundé I,Cameroon,0,Never,1,0,5.0,0.0,0,0
133,Gregor,Male,26,45,71,0.0,139,0,Accountant II,Lyrics,Costa Rican,Harbin Engineering University,China,0,Often,0,0,0.0,3.0,0,0
134,Marven,Male,32,19,51,0.0,78,0,Data Coordiator,Warranty,Fijian,Universitas Bung Hatta,Indonesia,0,Monthly,1,0,4.0,2.0,0,0
135,Vanna,Female,38,25,63,0.0,94,0,Registered Nurse,IGBT,Delaware,Yunnan Agriculture University,China,0,0,0,1,0.0,0.0,0,0
136,Lita,Female,34,15,49,0.0,89,0,Research Assistant I,Norton Utilities,Mexican,Escola Superior de Artes e Design,Portugal,0,Seldom,0,1,1.0,0.0,0,0
137,Shepherd,Male,25,21,46,0.0,110,0,Health Coach II,Xpress,Yaqui,Inner Mongolia Normal University,China,0,0,0,1,2.0,0.0,0,0
138,Katie,Female,33,22,55,0.0,96,0,Systems Administrator III,ETABS,Chilean,University of lloilo,Philippines,0,Yearly,0,0,7.0,0.0,0,0
139,Rhody,Female,45,38,83,0.0,74,1,Assistant Manager,Award Submissions,Filipino,Yerevan Haibusak University,Armenia,0,0,1,0,4.0,0.0,0,0
140,Fran,Male,15,16,31,0.0,117,1,Chemical Engineer,SAP BI,Nicaraguan,New Era University,Philippines,0,0,0,0,0.0,3.0,0,0
141,Trevor,Male,32,15,47,0.0,113,1,Budget/Accounting Analyst I,Traditional IRA,Yaqui,Fundação Educacional de Ituverava,Brazil,0,0,0,0,0.0,0.0,0,0
142,Trina,Female,47,21,68,0.0,108,0,Geologist IV,SI,Paraguayan,Universidad Diego Portales,Chile,0,0,0,0,3.0,2.0,0,0
143,Winny,Female,46,16,62,0.0,127,1,Registered Nurse,Jive SBS,Alaska Native,Swiss German University,Indonesia,Daily,0,0,0,6.0,0.0,0,0
144,Batholomew,Male,31,21,52,0.0,108,1,Assistant Media Planner,TFS,Venezuelan,Centro Escolar University,Philippines,0,0,0,1,0.0,2.0,0,0
145,Sauveur,Male,39,25,64,0.0,49,0,Financial Analyst,FX Operations,Lumbee,"National Academy of Music ""Pantcho Vladigerov""",Bulgaria,0,0,0,0,6.0,0.0,0,0
146,Boniface,Male,32,36,68,0.0,63,0,Environmental Specialist,VPP,Malaysian,Kazak State University of Agriculture,Kazakhstan,Monthly,0,1,1,0.0,2.0,0,0
147,Farrand,Female,33,16,49,0.0,111,0,Compensation Analyst,Qik,Yaqui,Universitas Ibn Khaldun Bogor,Indonesia,0,Never,0,0,2.0,0.0,0,0
148,Gregorius,Male,15,18,33,0.0,109,0,Human Resources Manager,EIGRP,Spaniard,Universidad Tecnológica Nacional,Argentina,0,0,0,0,8.0,3.0,0,0
149,Inness,Male,33,23,56,0.0,87,0,Nuclear Power Engineer,Oxidation,Paraguayan,Silpakorn University,Thailand,0,Never,0,1,0.0,5.0,0,0
150,Jess,Male,40,19,59,0.0,148,1,Systems Administrator I,PVElite,Chickasaw,Universitas Mataram,Indonesia,Daily,0,0,0,0.0,1.0,0,0
151,Layney,Female,23,21,44,0.0,111,0,Associate Professor,Okuma,Ecuadorian,College of Computer Science in Lodz,Poland,Often,0,1,0,9.0,5.0,0,0
152,Obadiah,Male,19,18,37,0.0,91,0,Quality Control Specialist,Easily Adaptable,Pakistani,Jönköping University College,Sweden,Seldom,0,0,0,2.0,0.0,0,0
153,Silvester,Male,29,7,36,0.0,97,0,Registered Nurse,Engineering Management,Pakistani,Palawan State University,Philippines,Often,0,1,0,6.0,0.0,0,0
154,Margret,Female,42,20,62,0.0,80,1,Dental Hygienist,WWII,Eskimo,Ecole Supérieure des Sciences Economiques et Commerciales,France,0,0,0,1,6.0,0.0,0,0
155,Karylin,Female,23,34,57,0.0,61,0,Software Engineer II,SSP,Yaqui,University of Kuopio,Finland,0,0,0,0,9.0,0.0,0,0
156,Ruthanne,Female,14,30,44,0.0,96,0,Professor,Static Timing Analysis,Delaware,Khurasan University,Afghanistan,Monthly,0,1,1,6.0,2.0,0,0
157,Denise,Female,23,23,46,0.0,121,0,Civil Engineer,ISO 13485,Vietnamese,Universidad Austral Buenos Aires,Argentina,0,Seldom,0,0,1.0,0.0,0,0
158,Eloisa,Female,26,16,42,0.0,94,0,Statistician III,Market Analysis,Thai,Universitas Mercu Buana,Indonesia,0,0,0,0,8.0,2.0,0,0
159,Markos,Male,34,25,59,0.0,123,0,Chief Design Engineer,PSpice,Yuman,Universitas Islam Nusantara,Indonesia,0,0,0,0,0.0,5.0,0,0
160,Arabela,Female,36,24,60,0.0,69,0,Programmer Analyst III,Aircraft,Pima,Central America Health Sciences University (Belize Medical College),Belize,Seldom,Weekly,0,0,5.0,1.0,0,0
161,Agathe,Female,22,24,46,0.0,86,0,Civil Engineer,RRIF,Central American,Universitas Pattimura,Indonesia,0,0,0,0,3.0,0.0,0,0
162,Louise,Female,23,13,36,0.0,127,1,Systems Administrator IV,Xalan,Native Hawaiian,Knox College,United States,Monthly,0,0,0,5.0,0.0,0,0
163,Ambrosio,Male,38,13,51,0.0,106,1,Accountant III,Oxides,Sri Lankan,Takoradi Polytechnic ,Ghana,Daily,0,0,0,0.0,0.0,0,0
164,Benjy,Male,39,22,61,0.0,113,0,Safety Technician II,NLTK,Nicaraguan,Don Mariano Marcos Memorial State University,Philippines,Never,0,0,0,1.0,5.0,0,0
165,Aubert,Male,26,32,58,0.0,93,1,Recruiting Manager,SWIFT Messaging,Latin American Indian,University of Limerick,Ireland,0,0,0,0,4.0,0.0,0,0
166,Danie,Male,29,22,51,0.0,89,1,Administrative Officer,LPT,Bolivian,Hunan Agricultural University,China,0,0,0,0,0.0,0.0,0,0
